0,code,count
a,97,2511
̀,768,948
|,124,929
t,116,811
l,108,780
ǝ,477,693
v,118,655
á,225,655
x,120,654
n,110,628
i,105,561
+,43,555
r,114,555
́,769,514
m,109,502
ʾ,702,451
-,45,450
y,121,411
u,117,387
d,100,381
̭,813,357
.,46,334
b,98,268
k,107,231
š,353,218
c,99,212
ə,601,192
",",44,191
o,111,163
s,115,157
ɟ,607,153
p,112,143
e,101,137
z,122,111
č,269,66
h,104,55
j,106,43
í,237,31
ā,257,26
ú,250,22
ṱ,7793,21
ē,275,18
,61930,14
?,63,13
̂,770,11
ġ,289,7
P,80,6
é,233,6
ī,299,5
ó,243,5
N,78,5
g,103,3
…,8230,3
R,82,2
ū,363,2
f,102,2
!,33,2
A,65,1
Y,89,1
L,76,1
ō,333,1
I,73,1
ă,259,1
̇,775,1
