,text,letter,accent,category,count,hex codes,note
5, , ,,Separator space,92267,0x20,
49,!,!,,Punctuation other,560,0x21,
13,",",",",,Punctuation other,7761,0x2c,
7,-,-,,Punctuation dash,25281,0x2d,
20,.,.,,Punctuation other,15191,0x2e,
65,:,:,,Punctuation other,42,0x3a,
147,;,;,,Punctuation other,1,0x3b,
127,=,=,,Symbol math,1100,0x3d,
52,?,?,,Punctuation other,1686,0x3f,
102,A,A,,Letter uppercase,143,0x41,
99,À,A,̀,Letter uppercase,38,0x41 + 0x300,
145,Á,A,́,Letter uppercase,20,0x41 + 0x301,
85,B,B,,Letter uppercase,196,0x42,
146,C,C,,Letter uppercase,10,0x43,
101,Č,Č,,Letter uppercase,64,0x43 + 0x30c,
124,Č̭,Č̭,,Letter uppercase,4,0x43 + 0x32d + 0x30c,
64,D,D,,Letter uppercase,45,0x44,
121,E,E,,Letter uppercase,1,0x45,
148,È,E,̀,Letter uppercase,4,0x45 + 0x300,
156,É,E,́,Letter uppercase,1,0x45 + 0x301,
97,F,F,,Letter uppercase,37,0x46,
120,G,G,,Letter uppercase,43,0x47,
98,H,H,,Letter uppercase,106,0x48,
160,Ḥ,Ḥ,,Letter uppercase,12,0x48 + 0x323,
110,I,I,,Letter uppercase,16,0x49,
82,Ì,I,̀,Letter uppercase,27,0x49 + 0x300,
84,Í,I,́,Letter uppercase,17,0x49 + 0x301,
119,J,J,,Letter uppercase,20,0x4a,
63,K,K,,Letter uppercase,26,0x4b,
153,K̭,K̭,,Letter uppercase,12,0x4b + 0x32d,
107,L,L,,Letter uppercase,37,0x4c,
86,M,M,,Letter uppercase,173,0x4d,
92,N,N,,Letter uppercase,154,0x4e,
122,O,O,,Letter uppercase,7,0x4f,
155,Ó,O,́,Letter uppercase,2,0x4f + 0x301,
154,Ò,O,̀,Letter uppercase,3,0x4f + 0x300,
93,P,P,,Letter uppercase,18,0x50,
116,Q,Q,,Letter uppercase,79,0x51,
78,R,R,,Letter uppercase,99,0x52,
81,S,S,,Letter uppercase,124,0x53,
111,Š,Š,,Letter uppercase,34,0x53 + 0x30c,
80,T,T,,Letter uppercase,85,0x54,
159,Ṱ,Ṱ,,Letter uppercase,1,0x54 + 0x32d,
114,U,U,,Letter uppercase,3,0x55,
125,Ú,U,́,Letter uppercase,34,0x55 + 0x301,
115,Ù,U,̀,Letter uppercase,61,0x55 + 0x300,
131,V,V,,Letter uppercase,10,0x56,
91,W,W,,Letter uppercase,15,0x57,
106,X,X,,Letter uppercase,48,0x58,
112,Y,Y,,Letter uppercase,34,0x59,
79,Z,Z,,Letter uppercase,135,0x5a,
83,ā́,a,̄́,Letter lowercase,183,0x61 + 0x304 + 0x301,
137,ä,a,̈,Letter lowercase,2,0x61 + 0x308,
138,ä̀,a,̈̀,Letter lowercase,2,0x61 + 0x308 + 0x300,
58,ằ,a,̆̀,Letter lowercase,299,0x61 + 0x306 + 0x300,
74,ā̀,a,̄̀,Letter lowercase,206,0x61 + 0x304 + 0x300,
24,á,a,́,Letter lowercase,26877,0x61 + 0x301,
54,ắ,a,̆́,Letter lowercase,600,0x61 + 0x306 + 0x301,
140,ã̀,a,̃̀,Letter lowercase,1,0x61 + 0x303 + 0x300,
4,a,a,,Letter lowercase,63409,0x61,
50,ă,a,̆,Letter lowercase,646,0x61 + 0x306,
9,à,a,̀,Letter lowercase,16165,0x61 + 0x300,
95,ā,a,̄,Letter lowercase,270,0x61 + 0x304,
10,b,b,,Letter lowercase,14437,0x62,
118,c,c,,Letter lowercase,4046,0x63,
133,ĉ,ĉ,,Letter lowercase,1,0x63 + 0x302,
61,č,č,,Letter lowercase,1276,0x63 + 0x30c,
73,č̣,č̣,,Letter lowercase,84,0x63 + 0x323 + 0x30c,
142,c̭,c̭,,Letter lowercase,40,0x63 + 0x32d,
105,č̭,č̭,,Letter lowercase,539,0x63 + 0x32d + 0x30c,
33,d,d,,Letter lowercase,13204,0x64,
103,ḍ,ḍ,,Letter lowercase,4,0x64 + 0x323,
21,é,e,́,Letter lowercase,2988,0x65 + 0x301,
94,ḗ,e,̄́,Letter lowercase,186,0x65 + 0x304 + 0x301,
23,e,e,,Letter lowercase,13039,0x65,
67,ē,e,̄,Letter lowercase,84,0x65 + 0x304,
39,è,e,̀,Letter lowercase,2323,0x65 + 0x300,
66,ḕ,e,̄̀,Letter lowercase,174,0x65 + 0x304 + 0x300,
56,f,f,,Letter lowercase,326,0x66,
17,g,g,,Letter lowercase,2303,0x67,
68,ġ,ġ,,Letter lowercase,270,0x67 + 0x307,
43,h,h,,Letter lowercase,4341,0x68,
55,ḥ,ḥ,,Letter lowercase,169,0x68 + 0x323,
1,ì,i,̀,Letter lowercase,6061,0x69 + 0x300,
108,ī̀,i,̄̀,Letter lowercase,64,0x69 + 0x304 + 0x300,
109,ī́,i,̄́,Letter lowercase,66,0x69 + 0x304 + 0x301,
15,í,i,́,Letter lowercase,9223,0x69 + 0x301,
34,i,i,,Letter lowercase,9746,0x69,
69,ī,i,̄,Letter lowercase,75,0x69 + 0x304,
40,j,j,,Letter lowercase,1409,0x6a,
28,k,k,,Letter lowercase,2652,0x6b,
60,k̭,k̭,,Letter lowercase,6107,0x6b + 0x32d,
22,l,l,,Letter lowercase,39003,0x6c,
72,ḷ,ḷ,,Letter lowercase,208,0x6c + 0x323,
31,m,m,,Letter lowercase,25693,0x6d,
77,ṃ,ṃ,,Letter lowercase,24,0x6d + 0x323,
12,n,n,,Letter lowercase,26515,0x6e,
134,ṑ,o,̄̀,Letter lowercase,9,0x6f + 0x304 + 0x300,
141,ŏ́,o,̆́,Letter lowercase,1,0x6f + 0x306 + 0x301,
104,ṓ,o,̄́,Letter lowercase,28,0x6f + 0x304 + 0x301,
139,ŏ̀,o,̆̀,Letter lowercase,1,0x6f + 0x306 + 0x300,
42,ò,o,̀,Letter lowercase,1543,0x6f + 0x300,
53,ó,o,́,Letter lowercase,2256,0x6f + 0x301,
96,ō,o,̄,Letter lowercase,81,0x6f + 0x304,
41,o,o,,Letter lowercase,3697,0x6f,
19,p,p,,Letter lowercase,5273,0x70,
129,p̂,p̂,,Letter lowercase,561,0x70 + 0x302,
89,p̣,p̣,,Letter lowercase,5,0x70 + 0x323,
117,p̭,p̭,,Letter lowercase,1,0x70 + 0x32d,
37,q,q,,Letter lowercase,4102,0x71,
8,r,r,,Letter lowercase,23463,0x72,
143,ŕ,ŕ,,Letter lowercase,1,0x72 + 0x301,
45,ṛ,ṛ,,Letter lowercase,474,0x72 + 0x323,
26,s,s,,Letter lowercase,5744,0x73,
25,š,š,,Letter lowercase,8914,0x73 + 0x30c,
29,ṣ,ṣ,,Letter lowercase,1397,0x73 + 0x323,
14,t,t,,Letter lowercase,23865,0x74,
46,ṭ,ṭ,,Letter lowercase,2072,0x74 + 0x323,
47,ṱ,ṱ,,Letter lowercase,3406,0x74 + 0x32d,
70,ū̀,u,̄̀,Letter lowercase,78,0x75 + 0x304 + 0x300,
36,ù,u,̀,Letter lowercase,3866,0x75 + 0x300,
38,ú,u,́,Letter lowercase,5030,0x75 + 0x301,
144,ǜ,u,̈̀,Letter lowercase,1,0x75 + 0x308 + 0x300,
71,ū́,u,̄́,Letter lowercase,38,0x75 + 0x304 + 0x301,
62,ŭ́,u,̆́,Letter lowercase,3,0x75 + 0x306 + 0x301,
149,ǘ,u,̈́,Letter lowercase,4,0x75 + 0x308 + 0x301,
151,ü,u,̈,Letter lowercase,5,0x75 + 0x308,
57,ŭ,u,̆,Letter lowercase,46,0x75 + 0x306,
18,u,u,,Letter lowercase,12131,0x75,
87,ŭ̀,u,̆̀,Letter lowercase,9,0x75 + 0x306 + 0x300,
88,ū,u,̄,Letter lowercase,56,0x75 + 0x304,
90,v,v,,Letter lowercase,9058,0x76,
3,w,w,,Letter lowercase,6186,0x77,
6,x,x,,Letter lowercase,20574,0x78,
27,y,y,,Letter lowercase,18676,0x79,
158,ý,ý,,Letter lowercase,1,0x79 + 0x301,
35,z,z,,Letter lowercase,5139,0x7a,
76,ž,ž,,Letter lowercase,212,0x7a + 0x30c,
100,ẓ,ẓ,,Letter lowercase,6,0x7a + 0x323,
51,ð,ð,,Letter lowercase,1375,0xf0,
113,ð̣,ð̣,,Letter lowercase,6,0xf0 + 0x323,
150,ı,ı,,Letter lowercase,6,0x131,
152,ı́,ı́,,Letter lowercase,3,0x131 + 0x301,
157,Ɉ,Ɉ,,Letter uppercase,3,0x248,
136,ɑ,ɑ,,Letter lowercase,9,0x251,
135,ɑ̀,ɑ̀,,Letter lowercase,4,0x251 + 0x300,
128,ɑ̄,ɑ̄,,Letter lowercase,42,0x251 + 0x304,
130,ɑ̄̀,ɑ̄̀,,Letter lowercase,28,0x251 + 0x304 + 0x300,
132,ɑ̄́,ɑ̄́,,Letter lowercase,13,0x251 + 0x304 + 0x301,
48,ə́,ə,́,Letter lowercase,8181,0x259 + 0x301,
11,ə,ə,,Letter lowercase,29328,0x259,
32,ə̀,ə,̀,Letter lowercase,4418,0x259 + 0x300,
16,ɛ,ɛ,,Letter lowercase,2431,0x25b,
30,ɛ̀,ɛ̀,,Letter lowercase,961,0x25b + 0x300,
44,ɛ́,ɛ́,,Letter lowercase,1041,0x25b + 0x301,
123,ɛ̄,ɛ̄,,Letter lowercase,1,0x25b + 0x304,
126,ɟ,ɟ,,Letter lowercase,3028,0x25f,
0,ʾ,ʾ,,Letter modifier,19345,0x2be,
59,ʿ,ʿ,,Letter modifier,192,0x2bf,
2,θ,θ,,Letter lowercase,3615,0x3b8,
75,—,—,,Punctuation dash,27,0x2014,
